date,count
17 Mar 1918,15
18 Mar 1918,14
19 Mar 1918,11
20 Mar 1918,48
21 Mar 1918,56
22 Mar 1918,14
23 Mar 1918,18
24 Mar 1918,13
25 Mar 1918,29
26 Mar 1918,76
27 Mar 1918,202
28 Mar 1918,61
29 Mar 1918,127
30 Mar 1918,43
31 Mar 1918,40
01 Apr 1918,31
02 Apr 1918,52
03 Apr 1918,110
04 Apr 1918,418
05 Apr 1918,94
06 Apr 1918,105
07 Apr 1918,43
08 Apr 1918,84
09 Apr 1918,70
10 Apr 1918,63
11 Apr 1918,54
12 Apr 1918,41
13 Apr 1918,95
14 Apr 1918,103
15 Apr 1918,111
16 Apr 1918,132
17 Apr 1918,60
18 Apr 1918,34
19 Apr 1918,42
20 Apr 1918,39
21 Apr 1918,48
22 Apr 1918,61
23 Apr 1918,323
24 Apr 1918,255
25 Apr 1918,94
26 Apr 1918,89
27 Apr 1918,55
28 Apr 1918,59
29 Apr 1918,47
30 Apr 1918,47
01 May 1918,58
02 May 1918,96
03 May 1918,45
04 May 1918,26
05 May 1918,43
06 May 1918,46
07 May 1918,49
08 May 1918,38
09 May 1918,25
10 May 1918,23
11 May 1918,24
12 May 1918,25
13 May 1918,54
14 May 1918,36
15 May 1918,24
16 May 1918,28
17 May 1918,27
18 May 1918,109
19 May 1918,49
20 May 1918,32
21 May 1918,31
22 May 1918,28
23 May 1918,29
24 May 1918,27
25 May 1918,36
26 May 1918,34
27 May 1918,29
28 May 1918,17
29 May 1918,56
30 May 1918,52
31 May 1918,52
01 Jun 1918,35
02 Jun 1918,46
03 Jun 1918,29
04 Jun 1918,44
05 Jun 1918,14
06 Jun 1918,21
07 Jun 1918,20
08 Jun 1918,28
09 Jun 1918,138
10 Jun 1918,59
11 Jun 1918,32
12 Jun 1918,43
13 Jun 1918,36
14 Jun 1918,38
15 Jun 1918,25
16 Jun 1918,20
17 Jun 1918,23
18 Jun 1918,22
19 Jun 1918,50
20 Jun 1918,22
21 Jun 1918,25
22 Jun 1918,40
23 Jun 1918,60
24 Jun 1918,28
25 Jun 1918,22
26 Jun 1918,24
27 Jun 1918,32
28 Jun 1918,17
29 Jun 1918,27
30 Jun 1918,8
01 Jul 1918,16
02 Jul 1918,23
03 Jul 1918,285
